label,youtube_id,time_start,time_end,split
news anchoring,iBZYcCARyKc,0,10,train
news anchoring,B0tLCuCrbwI,9,19,train
news anchoring,Yi2KPOYTqDg,5,15,train
news anchoring,_lKSkz0UbuE,0,10,train
news anchoring,A61fZtPTLjo,20,30,train
news anchoring,VFC2Z9yT664,6,16,train
news anchoring,wd78jnlApoI,0,10,train
news anchoring,PLfpc4GUhSY,35,45,train
news anchoring,R6C1smV7c9U,18,28,train
news anchoring,1WKxo53nUFk,7,17,train
news anchoring,7gVu3jLb56U,5,15,train
news anchoring,bndef0FDt5s,46,56,train
news anchoring,E5qgd8U8W2A,1,11,train
news anchoring,lBJabhoDxZ4,31,41,train
news anchoring,OkXpa_4s8S4,15,25,train
news anchoring,sEzJ4YR7C6Q,0,10,train
news anchoring,JD4CqUxcaVc,16,26,train
news anchoring,qeo9KAT0BHA,25,35,train
news anchoring,OahpM7FdjLE,6,16,train
news anchoring,5BpmekKHobA,11,21,train
news anchoring,x0tHYCajHAc,13,23,train
news anchoring,eAuF8pyWsS0,40,50,train
news anchoring,NAtH4RJcqN8,1,11,train
news anchoring,X0Dh08nye8Q,7,17,train
news anchoring,LoXCbVAQvwA,3,13,train
news anchoring,m9N-f-fsTCs,76,86,train
news anchoring,5aHDWvB8jcw,1,11,train
news anchoring,o1vf610CNWc,6,16,train
news anchoring,B6_TmBirKfo,74,84,train
news anchoring,qGe_IvL9vAA,28,38,train
news anchoring,y7h_-8wZSj4,80,90,train
news anchoring,-3Z_2PO7gEg,27,37,train
news anchoring,7rshTGHAnOI,14,24,train
news anchoring,B69D-WnWyHY,9,19,train
news anchoring,7XNM5P33sk8,6,16,train
news anchoring,b9ea-UCwRoI,0,10,train
news anchoring,6brX0NaSPHE,16,26,train
news anchoring,gxPS9QGZ9IM,54,64,train
news anchoring,w5Jtk--MIw4,77,87,train
news anchoring,UHI0QLwtopM,51,61,train
news anchoring,peGkNDEN19M,36,46,train
news anchoring,Y2mihTwLSFE,24,34,train
news anchoring,3-U9sc0cHyc,19,29,train
news anchoring,tCJJencTtdk,16,26,train
news anchoring,-axhvgcHZ4Y,1,11,train
news anchoring,5RdQDBBygdI,46,56,train
news anchoring,G8HOE8yglQk,43,53,train
news anchoring,G6Bvn7nyYmw,38,48,train
news anchoring,ZDmKh_ABgNw,0,10,train
news anchoring,riekNB0DVVA,62,72,train
news anchoring,vHOC2dYmS8s,4,14,train
news anchoring,Vpv-_TJNv7I,16,26,train
news anchoring,8FH4HHeEDXk,6,16,train
news anchoring,W06ulT0k80U,56,66,train
news anchoring,CFvJg22nAZ8,1,11,train
news anchoring,xzfZSf-Mjp0,49,59,train
news anchoring,bxDxTbOZk30,0,10,train
news anchoring,hGLw60ELQCo,0,10,train
news anchoring,zhB2d7PJfPw,30,40,train
news anchoring,h3VsNEPTqVo,13,23,train
news anchoring,3xA-WeJBKtc,0,10,train
news anchoring,OcUuP64zaUE,0,10,train
news anchoring,SEm3DKRSJ3E,13,23,train
news anchoring,SJ33F8mQuBc,42,52,train
news anchoring,t78_uHCDWzM,80,90,train
news anchoring,k5sMy89AIqI,3,13,train
news anchoring,644OX1FHBts,67,77,train
news anchoring,vxzqGk0zqIQ,61,71,train
news anchoring,Vh6Xxu0tuo8,5,15,train
news anchoring,ycbriUtBLSA,3,13,train
news anchoring,63u3tqFbPqY,0,10,train
news anchoring,rG6t0LnsXl0,2,12,train
news anchoring,kwSfwkVL8GA,65,75,train
news anchoring,DDloQRksx4c,62,72,train
news anchoring,7FIJS6G6hJ0,21,31,train
news anchoring,VjwXXUCahZI,3,13,train
news anchoring,T1cfUrwfqbI,18,28,train
news anchoring,0HbWLqOSgYQ,17,27,train
news anchoring,--XQ47BGhdc,46,56,train
news anchoring,vOvTxCtdB-8,0,10,train
news anchoring,rfAsS9wTPqU,3,13,train
news anchoring,2s4Yj1jloWY,3,13,train
news anchoring,VB5S-_CqcsE,7,17,train
news anchoring,7knuXZnhBJE,19,29,train
news anchoring,MZNRea-nIi0,8,18,train
news anchoring,L5W7wFhEuYw,44,54,train
news anchoring,fdbrDm1SrqE,63,73,train
news anchoring,vBc3Pfrr6T8,16,26,train
news anchoring,rBdlX3kbdUI,4,14,train
news anchoring,ZfScAeI7RQk,4,14,train
news anchoring,CiC_5VYs8CA,2,12,train
news anchoring,UZmXMVVC6Fo,18,28,train
news anchoring,6ukd5fEe764,2,12,train
news anchoring,nmLu_q2JXu8,2,12,train
news anchoring,6vvGL6e3PDs,39,49,train
news anchoring,4_KD_EcjT-4,36,46,train
news anchoring,uUQGnEYsk3M,3,13,train
news anchoring,XZp1bGjICzM,1,11,train
news anchoring,Q9nVOe3Cc0o,15,25,train
news anchoring,wcPr6Vv3Jdw,32,42,train
news anchoring,OiS1yNhmT98,70,80,train
news anchoring,q4zWPTXTT58,39,49,train
news anchoring,LX7KgAQwq-Y,52,62,train
news anchoring,NGzyeBmabU0,3,13,train
using bagging machine,k_zZxsYoyKU,38,48,train
using bagging machine,84Edv-Qh950,56,66,train
using bagging machine,PokEskNqsDo,62,72,train
using bagging machine,9wDRJT9u6ns,41,51,train
using bagging machine,wCiMNGAymPQ,11,21,train
using bagging machine,iEiRFRKMHv4,7,17,train
using bagging machine,fkKMNkIO7Uw,38,48,train
using bagging machine,cyaPKyvai5Q,56,66,train
using bagging machine,HRXbNBJ1ses,44,54,train
using bagging machine,QBAfdl6vtQg,10,20,train
using bagging machine,GmJHASy39Wg,59,69,train
using bagging machine,P2Y97XEef_Y,47,57,train
using bagging machine,P3r05mJQXyo,17,27,train
using bagging machine,PVtnt_DEnQ0,46,56,train
using bagging machine,Q5G9zLU2a-c,67,77,train
using bagging machine,h46p6UyoxUc,26,36,train
using bagging machine,-fHLbKgBD_Y,0,10,train
using bagging machine,BwGZLHwgROY,34,44,train
using bagging machine,Pf8tAbOzzMQ,59,69,train
using bagging machine,zQO2jTMPdHI,3,13,train
using bagging machine,yAhuaSDhxyE,2,12,train
using bagging machine,Jr8WL811u0I,17,27,train
using bagging machine,xBt90Mep3mU,59,69,train
using bagging machine,1Eemy8eW0-I,10,20,train
using bagging machine,6yX7s_G8Zqg,6,16,train
using bagging machine,2XCpF_OgUfY,51,61,train
using bagging machine,xLKKsg7o0P8,3,13,train
using bagging machine,bBJPz9nQrC8,47,57,train
using bagging machine,_uADOSxxM_M,78,88,train
using bagging machine,pibNcigf31s,19,29,train
using bagging machine,YpivcUJ7evQ,37,47,train
using bagging machine,0xyTC1dgpvM,40,50,train
using bagging machine,1EHUV42A9Kg,5,15,train
using bagging machine,IjhYMxotx9s,16,26,train
using bagging machine,NjNZar5H-DI,31,41,train
using bagging machine,VIYAsTHgsyA,16,26,train
using bagging machine,ObrPnWO7Hs0,22,32,train
using bagging machine,HkOH1CyhMUg,6,16,train
using bagging machine,VLKj8J6Tbho,6,16,train
using bagging machine,MJYcB-7kBJg,30,40,train
using bagging machine,bAar9lhU3-U,31,41,train
using bagging machine,YTlC5qlXZ1E,71,81,train
using bagging machine,CFCHlDn9A7c,37,47,train
using bagging machine,qgZsrOLf6ws,32,42,train
using bagging machine,vmjE9gyVUuc,18,28,train
using bagging machine,zICwyEXyk5w,12,22,train
using bagging machine,U3r0ejm-IJg,77,87,train
using bagging machine,EZoHDaEkNdE,52,62,train
using bagging machine,iqfLCtbFr8Y,9,19,train
using bagging machine,cNMGk_ZL5ek,12,22,train
using bagging machine,F1Mhb4S2KsA,9,19,train
using bagging machine,cWyDTUCDVRA,31,41,train
using bagging machine,mhhAp6OIsg4,54,64,train
using bagging machine,FafnR0VYSTM,33,43,train
using bagging machine,ECEMIUphsq4,0,10,train
using bagging machine,fy4WeNvErjQ,22,32,train
using bagging machine,V2fsCzdsygU,34,44,train
using bagging machine,kYhog5GXG64,22,32,train
using bagging machine,_KWZUWioiZU,25,35,train
using bagging machine,-IMO_tdEBLQ,63,73,train
using bagging machine,SgILCxP2Zyc,16,26,train
using bagging machine,dSPrIOLpR-M,49,59,train
using bagging machine,3UPqPzjFmU4,47,57,train
using bagging machine,DQoJ9pyH-kw,10,20,train
using bagging machine,fRamIJE8zSU,10,20,train
using bagging machine,RxsMhaJhWIA,58,68,train
using bagging machine,8tzrG9v9Dxk,58,68,train
using bagging machine,pU14GV7TMX0,21,31,train
using bagging machine,0wakUgFS7IE,15,25,train
using bagging machine,GI2gzzYCOsg,32,42,train
using bagging machine,2Lt4CNOv9S4,3,13,train
using bagging machine,7XyFv1tLbSI,15,25,train
using bagging machine,HBWEsauhq6k,23,33,train
using bagging machine,Cv3lu81qPN4,60,70,train
using bagging machine,vb9lZf1TeZA,50,60,train
using bagging machine,Y3tUW2K_w0c,68,78,train
using bagging machine,G4tj_1GAqG4,49,59,train
using bagging machine,pFOeRQlZK6Q,27,37,train
using bagging machine,5Vj4myoJdpk,8,18,train
using bagging machine,rZOSN0RbBy4,40,50,train
using bagging machine,e4E2dqaZ6Eg,19,29,train
using bagging machine,0X40_Sy0LSM,11,21,train
using bagging machine,BedjMFOJaRU,69,79,train
using bagging machine,ycwXylfiQkM,71,81,train
using bagging machine,r1aKlyUfaOE,19,29,train
using bagging machine,UKJOTf5OW7Y,0,10,train
using bagging machine,FUtqiVvXzHA,21,31,train
using bagging machine,jG90yflHhqU,15,25,train
using bagging machine,4W7fL8ORaEM,13,23,train
using bagging machine,ti1gW6VPrxE,62,72,train
using bagging machine,Ywx6PevzRDY,80,90,train
using bagging machine,VDEMDeHtHz8,54,64,train
using bagging machine,r2zBUZPg2xQ,12,22,train
using bagging machine,-foc9COPYDw,49,59,train
using bagging machine,FFpdhYlIuSs,27,37,train
using bagging machine,IJWAOpHveTU,0,10,train
using bagging machine,KVoYEiwAdY0,57,67,train
using bagging machine,KAUJgx0MRf0,36,46,train
using bagging machine,_vBRjm5eyms,16,26,train
using bagging machine,eju2L0bN8Wc,1,11,train
using bagging machine,xgeJ9BS46J4,69,79,train
using bagging machine,gjVzM4P0WMM,56,66,train
using bagging machine,qnM5KMiQQL8,8,18,train
using bagging machine,8cs9UUzS_6U,7,17,train
using bagging machine,IKXFQVXGBBI,10,20,train
using bagging machine,GiDMkfPoNgA,60,70,train
using bagging machine,lY7fyYztYsM,32,42,train
using bagging machine,wD89ExqagBM,9,19,train
using bagging machine,DaBdvZW5vTE,32,42,train
using bagging machine,Gg1Mty_o2Us,14,24,train
javelin throw,ucsAN6pGv6w,1,11,train
javelin throw,0KyXT3W-FzQ,1,11,train
javelin throw,_crhGfNOcFs,0,10,train
javelin throw,E9i0HIbOnSQ,0,10,train
javelin throw,YtiD4w2qhaA,1,11,train
javelin throw,HoWPeXLizQY,3,13,train
javelin throw,OXrW7M8F4b4,6,16,train
javelin throw,9kBiSYqkFQc,0,10,train
javelin throw,0jjhNtqZ1Og,3,13,train
javelin throw,K-Zmq7thxy4,3,13,train
javelin throw,tsb4qT_CAkA,1,11,train
javelin throw,EdNcmgZoyuQ,4,14,train
javelin throw,TN-L35qcvV0,9,19,train
javelin throw,1hr6KGVf9kw,56,66,train
javelin throw,3zIQmB3LY8w,1,11,train
javelin throw,h6BcrsiLhbU,2,12,train
javelin throw,hSc5IKfkl0M,9,19,train
javelin throw,ShlEuUpv2l8,1,11,train
javelin throw,C9iKkflejkU,3,13,train
javelin throw,-j_y3XMzUPQ,3,13,train
javelin throw,k3kmemvfj6Y,56,66,train
javelin throw,GpIYSaSR6k4,14,24,train
javelin throw,m3rgWvkMMgs,1,11,train
javelin throw,k9KNALaYab8,0,10,train
javelin throw,p2Hx_-HXk_M,0,10,train
javelin throw,6I1sBA1Rf6M,0,10,train
javelin throw,cEzcH5uZj5s,4,14,train
javelin throw,5TgpDE3QfW8,37,47,train
javelin throw,RwnPkFvu0js,16,26,train
javelin throw,v-WXUgBdpaQ,0,10,train
javelin throw,mLvipR32eIQ,54,64,train
javelin throw,iA7e3fbsRRQ,18,28,train
javelin throw,imZxxximci0,0,10,train
javelin throw,PfHlJ0NPCg4,4,14,train
javelin throw,zVlBFLFkUNk,16,26,train
javelin throw,UMubR7yPa1o,17,27,train
javelin throw,uBXZoo3fHAQ,27,37,train
javelin throw,T2OgKDnnpGM,32,42,train
javelin throw,Hn1fPc84taI,4,14,train
javelin throw,2f_OE1mTbUw,4,14,train
javelin throw,m51klCwo9Sk,9,19,train
javelin throw,HC9kfQZH3IE,3,13,train
javelin throw,1Ki1ZdBNlng,5,15,train
javelin throw,s2qjZMHLa30,3,13,train
javelin throw,HURRgbZGz8Q,41,51,train
javelin throw,eCoS99v299I,4,14,train
javelin throw,w9gfsFheLYg,3,13,train
javelin throw,a6lCnOqNaMY,24,34,train
javelin throw,YAm1JXAtqh4,9,19,train
javelin throw,JyVnoLGjAXI,17,27,train
javelin throw,Cbk1nZ_PvwU,0,10,train
javelin throw,knWhhmAhdH4,1,11,train
javelin throw,1Jrl5OKvRcA,1,11,train
javelin throw,9_c7hbLlhvU,54,64,train
javelin throw,e0DG0-7m8ac,0,10,train
javelin throw,zu_aJcHUgyE,2,12,train
javelin throw,oAGztQ8wQ6Q,0,10,train
javelin throw,OBvQ6_SBFXE,2,12,train
javelin throw,eAdoJ9XRWSE,0,10,train
javelin throw,gdsxHCpVIH0,11,21,train
javelin throw,PdT-0B2KTQw,44,54,train
javelin throw,38V06yM034g,0,10,train
javelin throw,EggW4SL9G_Q,11,21,train
javelin throw,Qod6OJPxGK4,4,14,train
javelin throw,Q5TvIjX_6kQ,0,10,train
javelin throw,3F9ozWmEr9A,2,12,train
javelin throw,PmWF-HawRw0,16,26,train
javelin throw,zbXglpo36oE,20,30,train
javelin throw,_4IJaiNQpYM,34,44,train
javelin throw,goCguAQll2g,14,24,train
javelin throw,hfJjjEqcRCE,7,17,train
javelin throw,9Aa4M5v6Ado,0,10,train
javelin throw,_Dkkfgn1sCI,3,13,train
javelin throw,QWBnaUGiZVA,5,15,train
javelin throw,w5aPbifsmJU,8,18,train
javelin throw,k9gleixz8ZA,71,81,train
javelin throw,Y9pghQfpxDc,58,68,train
javelin throw,wD10MQdGyMw,1,11,train
javelin throw,O8inwvo9L1g,11,21,train
javelin throw,ViN8s7IuD0M,14,24,train
javelin throw,GDKLRJ6kE_E,31,41,train
javelin throw,gFpy36PdUFc,1,11,train
javelin throw,BFoNVrEmXkg,3,13,train
javelin throw,NbNrCIt738g,15,25,train
javelin throw,2pXUNF91ICc,15,25,train
javelin throw,xiAKoh2zmBs,18,28,train
javelin throw,M24CTdQwNn4,0,10,train
javelin throw,4kAoxDjpnOM,0,10,train
javelin throw,--07WQ2iBlw,1,11,train
javelin throw,FpDpaRdXjRQ,2,12,train
javelin throw,sZyOvjG78Zc,5,15,train
javelin throw,Z5W6RE1T_us,4,14,train
javelin throw,MI0f_FfTk9s,1,11,train
javelin throw,2VEDP1VtjfM,14,24,train
javelin throw,XcQzR-oK8e0,0,10,train
javelin throw,PNpqrGw31h0,16,26,train
javelin throw,W1jsHqPoVSU,27,37,train
javelin throw,IQhyfEsvpYM,16,26,train
javelin throw,Vfu1RJAVv7o,1,11,train
javelin throw,-OhDQF1gteo,2,12,train
javelin throw,8LUj6mhHYlQ,2,12,train
javelin throw,bBq26WDys80,4,14,train
javelin throw,ELX4l4wiYis,2,12,train
javelin throw,c2Zx3L7F_qY,0,10,train
javelin throw,eVgmEK5xnOI,2,12,train
javelin throw,LbZmLO0fqPc,4,14,train
javelin throw,MG6Ftr_8YWI,12,22,train
javelin throw,o-XPrB8wwbM,0,10,train
javelin throw,EILv2OHM85c,4,14,train
javelin throw,VHzb76U3Yx4,1,11,train
climbing a rope,eRBnFKXSeCQ,9,19,train
climbing a rope,m4xlZ55ZSks,22,32,train
climbing a rope,wN2D-uRY8ZY,12,22,train
climbing a rope,C-TqMlXNKgo,4,14,train
climbing a rope,jqmJNHRonCE,29,39,train
climbing a rope,31f3fOpBIBI,6,16,train
climbing a rope,kQvmJXIcMTA,12,22,train
climbing a rope,SR_lOgeVkcU,79,89,train
climbing a rope,anFLf1YpYAs,0,10,train
climbing a rope,5XFRscJa9_Y,0,10,train
climbing a rope,O-ht7HgQZkQ,41,51,train
climbing a rope,0cdw5FZbaXk,16,26,train
climbing a rope,6K2CVHjNd6Q,8,18,train
climbing a rope,M8YcoloUzL0,3,13,train
climbing a rope,OzaSyhpLBho,6,16,train
climbing a rope,HItsg5UtK7A,0,10,train
climbing a rope,_8FdmissKrU,0,10,train
climbing a rope,NfH4FZhrtvE,2,12,train
climbing a rope,uG-cD-c89no,43,53,train
climbing a rope,0iIif1IGviQ,7,17,train
climbing a rope,s3FqU7XZSMU,10,20,train
climbing a rope,GxZKJcv9hVo,7,17,train
climbing a rope,mcJb0ha7u4w,5,15,train
climbing a rope,RBw7FMot0n4,5,15,train
climbing a rope,Fgl3gBuVmX8,2,12,train
climbing a rope,LLihRvOTFB8,0,10,train
climbing a rope,y0klk1tQamc,15,25,train
climbing a rope,DLR100A1uCg,3,13,train
climbing a rope,gl0K6Zy6qw8,2,12,train
climbing a rope,-5hwkh3Eoks,36,46,train
climbing a rope,wwGjwk7r-eE,11,21,train
climbing a rope,7ri-INWs8oI,0,10,train
climbing a rope,whY1N65SHiA,22,32,train
climbing a rope,RYqaKh5GDmQ,6,16,train
climbing a rope,9hCwRBcfR_U,36,46,train
climbing a rope,rqNx0g4zUj8,45,55,train
climbing a rope,JdjXhLC8e_Q,9,19,train
climbing a rope,WI7YkvDS5cM,58,68,train
climbing a rope,pLXgOpLFBYU,15,25,train
climbing a rope,bHVln91O8vI,3,13,train
climbing a rope,5HcTcVVikHs,0,10,train
climbing a rope,P6fhmg5HlnU,53,63,train
climbing a rope,QnCpdLbCkcM,61,71,train
climbing a rope,M2RRtPyj6cg,25,35,train
climbing a rope,LvcFDgCAXQs,4,14,train
climbing a rope,Paj-zmqIU1E,16,26,train
climbing a rope,s-huGdlP9YE,6,16,train
climbing a rope,aM9MblI7sZU,0,10,train
climbing a rope,FXPOiXUJMwM,27,37,train
climbing a rope,sxPXRgXuF1U,0,10,train
climbing a rope,fVLia-q0CwU,35,45,train
climbing a rope,106RH9-x0v0,2,12,train
climbing a rope,AnhMaQ0RlBA,0,10,train
climbing a rope,-pYdl4D6mIs,31,41,train
climbing a rope,xjkdzoqdnzg,6,16,train
climbing a rope,J9JKjdEo9FI,0,10,train
climbing a rope,KPvDtb-LDO4,12,22,train
climbing a rope,hpuVYRWCXOc,4,14,train
climbing a rope,UAccbVdAeTU,37,47,train
climbing a rope,JLHa1JBqH6E,16,26,train
climbing a rope,6zBq9wzVEwM,5,15,train
climbing a rope,n5FDu6uctec,22,32,train
climbing a rope,7FJcOHM86hk,5,15,train
climbing a rope,irEXmPcSiZM,1,11,train
climbing a rope,bGZ4zT7y3pA,0,10,train
climbing a rope,kE2bUg_RA3A,15,25,train
climbing a rope,3pmnORzDN0g,7,17,train
climbing a rope,5GNGe5aOZiQ,5,15,train
climbing a rope,KmClWx-2WR8,6,16,train
climbing a rope,lPjB8KNvrhc,0,10,train
climbing a rope,0kqXPvPDV5g,6,16,train
climbing a rope,KUZAb9qCnm4,4,14,train
climbing a rope,F30AwAVXElQ,34,44,train
climbing a rope,JF3sy0s9kxo,15,25,train
climbing a rope,RF7_vQcq6dI,24,34,train
climbing a rope,ZGX6fCnHKas,26,36,train
climbing a rope,ECNimVwm5js,3,13,train
climbing a rope,iqUz-YuearY,26,36,train
climbing a rope,LrE7Aze2nLE,4,14,train
climbing a rope,2bS9MySipnk,23,33,train
climbing a rope,kVUriaJo4TA,8,18,train
climbing a rope,2t9nU_e4AKQ,4,14,train
climbing a rope,xaeYes7FPC0,2,12,train
climbing a rope,izDyNO0yULk,35,45,train
climbing a rope,KNHxcjOxTC8,4,14,train
climbing a rope,x3n1cUjSTf8,40,50,train
climbing a rope,1RSkUMxcFSY,3,13,train
climbing a rope,e05tuE4I9lE,0,10,train
climbing a rope,HkSUcLPcufI,62,72,train
climbing a rope,WEDCukS8Q_A,0,10,train
climbing a rope,o7f6YW98scM,6,16,train
climbing a rope,M8fJKP4t7mc,29,39,train
climbing a rope,RlOsZKP4ycU,34,44,train
climbing a rope,UYfHh9YUl3c,10,20,train
climbing a rope,OLk8WZsjuTE,40,50,train
climbing a rope,a4lkA4NCCGc,15,25,train
climbing a rope,8lxkbDtx-zw,1,11,train
climbing a rope,MvIytLbSotw,0,10,train
climbing a rope,c5nqU2BQteY,8,18,train
climbing a rope,Wf4E0s-SDuU,6,16,train
climbing a rope,zBfTt6JApUg,0,10,train
climbing a rope,p-t3WSlU1ik,7,17,train
climbing a rope,58_6TqPqq-8,41,51,train
climbing a rope,BIf5DUDfh2o,13,23,train
climbing a rope,jZKVhItQqXc,0,10,train
climbing a rope,J1dw4AznwmQ,4,14,train
climbing a rope,BxMyUWkS_00,0,10,train
climbing a rope,-EHqT6ZDcb4,12,22,train
climbing a rope,rCzkWwnvjaA,13,23,train
climbing a rope,-0HgQ31lcNM,13,23,train
sipping cup,nbtyw84ipxY,1,11,train
sipping cup,NPX6eRwSRhQ,9,19,train
sipping cup,BVD2uBft450,13,23,train
sipping cup,-EAKRuCKemQ,48,58,train
sipping cup,UmZD2AHgp60,0,10,train
sipping cup,YXknvGpayvE,32,42,train
sipping cup,WDDvrwMjcnw,4,14,train
sipping cup,OnoKed051Dg,14,24,train
sipping cup,t3a9MkI2HXs,9,19,train
sipping cup,V3sm6jWssWY,8,18,train
sipping cup,4lo8wYOvvvs,22,32,train
sipping cup,rY7FLXxvp18,58,68,train
sipping cup,VXR2Ua4ZnjM,0,10,train
sipping cup,00rtry4LqmE,48,58,train
sipping cup,rgXk3Og-l0A,30,40,train
sipping cup,DDuVDG2FrLg,14,24,train
sipping cup,6zP75hMtILk,13,23,train
sipping cup,YmVbF6oDH_M,23,33,train
sipping cup,I0WBTp05VW4,18,28,train
sipping cup,W2_iB7aOOBM,0,10,train
sipping cup,0556EWLhn1s,30,40,train
sipping cup,qAKhWbSHEgM,30,40,train
sipping cup,N7tli4b0M-E,0,10,train
sipping cup,arHEtfser4M,14,24,train
sipping cup,kmOhbbWchBA,18,28,train
